Elegido;264;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Numero;Codigo;C;C+;C-;D;D+;D-;B;B+;B-;d;d+;d-;GR;GR+;GR-;A;A+;A-;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;TORQUE DE SELLOS +;TORQUE DE SELLOS -;PORCENTAJE DE GRASA;TIPO DE GRASA;Fecha Rev. Plano;Rev.
66;B&P-048-5209-KRRB2 - CMI;30;0;-127;85;0;-15;33;0;-127;NO;NO;NO;Axial;44;23;38.24;80;0;64;58;64;58;60cNm/0,6Nm;50cNm/0,5Nm;15,4 - 17,6;Polyrex;2022-05-16 00:00:00;C
67;5209KRRB2-02;NO;NO;NO;NO;NO;NO;33;0;-120;NO;NO;NO;NO;NO;NO;38.23;100;NO;64;58;NO;NO;……………………….;……………………….;NO;NO;2016-08-09 00:00:00;0
68;B&P-048-59190-16 - CMI;21.78;0;-120;47;0;-13;25.48;0;-120;16.13;120;-10;AXIAL C0;25;7;NO;NO;NO;64;58;64;58;0.17 Nm;0.11 Nm;60%- 80%;Polyrex;2022-05-16 00:00:00;B
69;59196-20;22.8;0;-120;45.225;0;-13;26;0;-120;20.28;10;-10;AXIAL C0;25;7;NO;NO;NO;64;58;64;58;12,7cNm / 0,127Nm;10,2cNm / 0,102Nm;3,8-4,59;Polyrex;2016-04-22 00:00:00;0
70;6006PP19;13;0;-120;55;0;-13;19;0;-120;30;0;-10;C3;13;28;NO;NO;NO;;;;;……………………….;……………………….;;;……………….;……….
71;AG 1235 PPZ9-01;18.263;0;-127;53.086;0;0.13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;……12/11/2014………….;0
72;AG 1235 PPZ9-02;NO;NO;NO;NO;NO;NO;29.2;0;-127;14.46;0;-127;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2014-11-12 00:00:00;0
73;AG 2565 CHS;21.93;NO;NO;120;0;-300;NO;NO;NO;16.14;-10;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;……………………….;……………………….;NO;NO;……………….;……….
74;AG 3565 CH;;;;136;0;-300;;;;;;;;;;;;;;;42 HRC;45 HRC;……………………….;……………………….;;;……………….;……….
75;BPB-048-AG-1235-B - HNWL;18.263;0;-127;53.086;0;-13;19.428;0;-127;16.13;-10;-120;AXIAL;18;54;NO;NO;NO;64;58;64;58;16,9cNm / 0,169Nm;12,7cNm / 0,127Nm;3,2 - 4,27;Polyrex;2015-03-03 00:00:00;E
76;B&P-048-AG-1235-PPZ9 - CMI;18.263;0;-127;53.086;0;-13;29.2;0;-127;14.46;0;-127;AXIAL;54;18;NO;NO;NO;64;58;64;58;16,9cNm / 0,169Nm;12,7cNm / 0,127Nm;4,8 - 6,4;Polyrex;2020-05-20 00:00:00;F
77;BB203-KRR2;12;0;-120;40;0;-13;18.28;0;-120;16.25;0;-127;C0;8;18;NO;NO;NO;;;;;……………………….;……………………….;;;……………….;……….
78;B&P-048-BB203-KRR2FD - CMI;12;0;-120;40;0;-11;18.288;0;-120;16.256;0;-127;Axial;51;10;NO;NO;NO;64;58;64;58;0.071;0.106;1,7 - 2,2;Polyrex;2015-01-06 00:00:00;A
79;BPB-048-CF5202-2RST - CMI;15.9;0;-120;38.2;130;-130;15.9;0;-120;12.7;13;0;Radial;20;8;NO;0;0;64;58;64;58;9,1cNm / 0,091Nm;5,6cNm / 0,056Nm;1,2 - 1,6;Polyrex;2022-05-17 00:00:00;F
80;CF-5202-2RST-8-01;15.9;0;-120;38.2;130;-130;No;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;……………….;……….
81;CF-5202-2RST-8-02;NO;NO;NO;NO;NO;NO;15.9;0;-120;12.7;13;0;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;……………….;……….
82;ENG-3560CHS;24;0;0;120.7;0;-300;;;;45.23;0;-20;;;;;;;;;;;……………………….;……………………….;;;……………….;……….
83;ES6010-RY;16;0;-120;80;0;-13;25;0;-120;50;0;-12;C3;18;36;NO;NO;NO;;;;;……………………….;……………………….;;;……………….;……….
84;FHRL-BB9105;12.7;0;-120;47;0;-20;28.575;0;-120;27.28;0;-127;C3;13;28;NO;NO;NO;58;64;58;64;……………………….;……………………….;;;……………….;……….
85;G209KYYB2;19;0;-120;85;0;-15;30;0;-120;NO;NO;NO;Axial;245;190;38.125;127;0;64;58;64;58;67,7cNm / 0,677Nm;45,1cNm / 0,451Nm;10.7 - 14.3;polyrex;2017-09-22 00:00:00;D
86;G-210-KPPB2;22;0;-127;90;0;-13;30;0;-127;NO;NO;NO;RADIAL;36;18;38.125;127;0;64;58;64;58;……………………….;……………………….;60-80%;Polyrex;2008-11-28 00:00:00;0
87;G210KPPB2-02;NO;NO;NO;NO;NO;NO;30;0;-127;NO;NO;NO;NO;NO;NO;38.125;127;0;64;58;NO;NO;NO;NO;NO;NO;……………..;…….
88;G5209KRRB2;30;0;-127;85;0;-15;33;0;-127;NO;NO;NO;Axial;23;44;38.23;100;0;58 HRC;64 HRC;58 HRC;64 HRC;0.5;0.6;15,4 - 17,6;polyrex;……………….;F
89;G5209KRRB2-01;30;0;-127;85;0;-15;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;……………….;……….
90;G5209KRRB2-02;NO;NO;NO;NO;NO;NO;33;0;-127;NO;NO;NO;NO;NO;NO;38.23;100;0;64;58;NO;NO;NO;NO;NO;NO;……………….;……….
91;G5209KYYB2;30;0;-127;85;0;-15;33;0;-127;NO;NO;NO;AXIAL;44;23;38.23;100;0;64;58;64;58;67,7cNm / 0,677Nm;45,1cNm / 0,451Nm;60-80%;Polyrex;……………….;……….
92;GW208PPB22;21;0;-127;80;0;-13;36.51;0;-127;;;;;15;33;31.8;127;0;;;;;……………………….;……………………….;;;……………….;……….
93;GW208PPB22;21;;-127;80;0;-13;36.51;0;-127;NO;NO;NO;RADIAL;15;33;31.8;127;0;;;;;……………………….;……………………….;;;……………….;……….
94;OR204-14;14;0;-120;47;0;-11;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-26 00:00:00;0
95;OR204-14;14;0;-120;47;0;-11;No;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-26 00:00:00;A
96;OR204-R14;14;0;-120;47;0;-11;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-26 00:00:00;0
97;OR206-16;16;0;-120;62;0;-13;No;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-27 00:00:00;0
98;OR207-17;17;0;-120;72;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-26 00:00:00;0
