Empresa;Comp;Numero;Fecha;Producto;Cantidad;Deposito;Ubicacion;Observ;Proveedor;Usuario;OC;CodOC
BPB;IDESP;7071;01/12/2025;000-054-TDY009;250;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-X-30205;2500;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-X-32205;250;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TDY205;250;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-X-32210;250;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TDY210;250;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-X-32214;250;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TCY205;2500;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TDY214;250;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-HM-518445;2000;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TCY-8410;2000;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
