Elegido;1251;3;4;5;6;7;
Numero;Codigo;Juego;Juego+;Juego-;Fecha Rev. Plano; Rev.;Observaciones
205;BPB-046-SABFL206-30L - GXTY;NO EXIST.;NO EXIST.;NO EXIST.;2018-01-23 00:00:00;Standard GXTY;
206;BPB-046-SABFL207-35L - GXTY;NO EXIST.;NO EXIST.;NO EXIST.;2018-01-23 00:00:00;Standard GXTY;
207;BPB-046-SABF213-65L - GXTY;NO EXIST.;NO EXIST.;NO EXIST.;2018-01-23 00:00:00;Standard GXTY;
208;BPB-046-SABFB209-45L - GXTY;NO EXIST.;NO EXIST.;NO EXIST.;2018-01-23 00:00:00;Standard GXTY;
209;BPB-037-BP-18020 - BPB;NO EXIST.;NO EXIST.;NO EXIST.;2018-09-21 00:00:00;0;
210;DD-2047-SH;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
211;DD59205SC;NO EXIST.;NO EXIST.;NO EXIST.;2019-06-16 00:00:00;A;
212;DS2560C28;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
213;DTR2047-Seal;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
214;DTR2549-SELLO;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
215;DTR3062-Seal;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
216;DTR3572-SELLO;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
217;DTR4080-SELLO;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
218;F-203;NO EXIST.;NO EXIST.;NO EXIST.;2017-11-13 00:00:00;0;
219;F-204;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
220;F-204-PBT;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
221;F205;NO EXIST.;NO EXIST.;NO EXIST.;2013-12-09 00:00:00;A;
222;F205-L;NO EXIST.;NO EXIST.;NO EXIST.;2017-03-06 00:00:00;0;
223;F-205-PBT;NO EXIST.;NO EXIST.;NO EXIST.;……………;……;
224;F-206;NO EXIST.;NO EXIST.;NO EXIST.;2014-09-11 00:00:00;B;
225;F206-L;NO EXIST.;NO EXIST.;NO EXIST.;2017-02-16 00:00:00;0;
226;F-206-PBT;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
227;F-207;NO EXIST.;NO EXIST.;NO EXIST.;2013-12-09 00:00:00;A;
228;BPB-047-F-207-L - SCB;NO EXIST.;NO EXIST.;NO EXIST.;2017-03-06 00:00:00;0;
229;F-207-M;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
230;F-207-PBT;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
231;F-208;NO EXIST.;NO EXIST.;NO EXIST.;2016-07-26 00:00:00;0;
232;F208-L;NO EXIST.;NO EXIST.;NO EXIST.;2017-02-16 00:00:00;0;
233;F208-M;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
234;F-208-PBT;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
235;F-209;NO EXIST.;NO EXIST.;NO EXIST.;2014-09-12 00:00:00;A;
