host_id,item,Fecha Partida,produc,descrip_larga,Llave,OC Tipo,OC numero,ubi,obser,canti_real_item,Cant_Despachada,canti_real,Comp,Num,Fecha_ing,Subgrupo,costo_prome_ponde,depO,uni_medi_stock,depo_descrip,,,Observacion
25876,6088IC06000112Z,2026-04-08,B&P-048-5203-KYY5,Esp Agric. = 16.256x40x44.12/39.12,B&P-048-5203-KYY56088IC06000112Z,OCEUG,1076,E-11-01-01,,1408,2500,2966,IDESP,7143,2026-04-08,Rodamientos Esp.Agricolas,0.0512,101,C/Uno,Control de Calidad,,,
25876,6088IC06000112Z,2026-04-08,B&P-048-5203-KYY5,Esp Agric. = 16.256x40x44.12/39.12,B&P-048-5203-KYY56088IC06000112Z,OCEUG,1076,V-00-00-00,,20,2500,2966,IDESP,7143,2026-04-08,Rodamientos Esp.Agricolas,0.0512,101,C/Uno,Control de Calidad,,,
25876,6088IC06000111P,2026-04-08,B&P-048-FDECL211-55,FDECL211-55,B&P-048-FDECL211-556088IC06000111P,OCEUG,1086,A-05-01-03,,72,504,895,IDESP,7144,2026-04-08,Rodamientos Esp.Agricolas,9.68,101,C/Uno,Control de Calidad,,,
25876,6088IC06000111P,2026-04-08,B&P-048-FDECL211-55,FDECL211-55,B&P-048-FDECL211-556088IC06000111P,OCEUG,1086,A-07-01-02,,72,504,895,IDESP,7144,2026-04-08,Rodamientos Esp.Agricolas,9.68,101,C/Uno,Control de Calidad,,,
25876,6088IC06000111P,2026-04-08,B&P-048-FDECL211-55,FDECL211-55,B&P-048-FDECL211-556088IC06000111P,OCEUG,1086,A-20-01-01,,62,504,895,IDESP,7144,2026-04-08,Rodamientos Esp.Agricolas,9.68,101,C/Uno,Control de Calidad,,,
25876,6088IC06000111P,2026-04-08,B&P-048-FDECL211-55,FDECL211-55,B&P-048-FDECL211-556088IC06000111P,OCEUG,1086,A-20-02-03,,72,504,895,IDESP,7144,2026-04-08,Rodamientos Esp.Agricolas,9.68,101,C/Uno,Control de Calidad,,,
25876,6088IC06000111P,2026-04-08,B&P-048-FDECL211-55,FDECL211-55,B&P-048-FDECL211-556088IC06000111P,OCEUG,1086,B-13-02-02,,72,504,895,IDESP,7144,2026-04-08,Rodamientos Esp.Agricolas,9.68,101,C/Uno,Control de Calidad,,,
25876,6088IC06000111P,2026-04-08,B&P-048-FDECL211-55,FDECL211-55,B&P-048-FDECL211-556088IC06000111P,OCEUG,1086,C-24-01-02,,72,504,895,IDESP,7144,2026-04-08,Rodamientos Esp.Agricolas,9.68,101,C/Uno,Control de Calidad,,,
25876,6088IC06000111P,2026-04-08,B&P-048-FDECL211-55,FDECL211-55,B&P-048-FDECL211-556088IC06000111P,OCEUG,1086,D-05-02-03,,72,504,895,IDESP,7144,2026-04-08,Rodamientos Esp.Agricolas,9.68,101,C/Uno,Control de Calidad,,,
25876,6088IC06000111P,2026-04-08,B&P-048-FDECL211-55,FDECL211-55,B&P-048-FDECL211-556088IC06000111P,OCEUG,1086,V-00-00-00,,10,504,895,IDESP,7144,2026-04-08,Rodamientos Esp.Agricolas,9.68,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,BPB-041-1621-2RS,"1621 = 1/2""x1""3/8x7/16""",BPB-041-1621-2RS6088IC06000107U,OCREP,159,F-04-03-02,,500,500,501,IDESP,7138,2026-04-08,Rod. Rigidos de Bolas,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,B-02-05-01,,1100,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,B-05-06-01,,1100,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,B-05-06-03,,1100,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,B-06-01-02,,550,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
